rotation,exposurestart,exposurestop
controls,2016-11-02T11:08:00+01:00,2016-11-03T03:26:00+01:00
nano1,2016-11-02T11:08:00+01:00,2016-11-02T12:08:00+01:00
nano2,2016-11-03T12:00:00+01:00,2016-11-03T14:15:00+01:00
